"Diplôme","N°","Chapitre","Identifiant technique","Sections"
"DCG","1","Le contrôle de gestion : cadre, métier et organisation","dcg-ue11-cadre-metier-organisation","8"
"DCG","2","Fondements de la comptabilité de gestion et construction des coûts","dcg-ue11-fondements-construction-couts","7"
"DCG","3","Le modèle volume-coût-profit","dcg-ue11-modele-volume-cout-profit","8"
"DCG","4","Analyse du risque et loi normale","dcg-ue11-analyse-risque-loi-normale","5"
"DCG","5","La méthode des coûts complets","dcg-ue11-methode-couts-complets","6"
"DCG","6","La méthode ABC","dcg-ue11-methode-abc","5"
"DCG","7","L'imputation rationnelle des charges fixes","dcg-ue11-imputation-rationnelle","5"
"DCG","8","La méthode des coûts partiels","dcg-ue11-methode-couts-partiels","5"
"DCG","9","La procédure budgétaire","dcg-ue11-procedure-budgetaire","6"
"DCG","10","Le budget des ventes","dcg-ue11-budget-des-ventes","6"
"DCG","11","La gestion des approvisionnements","dcg-ue11-gestion-approvisionnements","6"
"DCG","12","La gestion de la production","dcg-ue11-gestion-production","6"
"DCG","13","La gestion de la masse salariale","dcg-ue11-gestion-masse-salariale","14"
"DCG","14","Le contrôle budgétaire et l'analyse des écarts","dcg-ue11-controle-budgetaire-ecarts","8"
"DCG","15","Les tableaux de bord et le reporting","dcg-ue11-tableaux-de-bord-reporting","12"
"DCG","16","La gestion de la qualité","dcg-ue11-gestion-qualite","7"
"DCG","17","Le coût cible","dcg-ue11-cout-cible","9"
"DCG","18","Les prix de cession interne","dcg-ue11-prix-cession-interne","17"
"DCG","19","Performance globale, durabilité et contrôle de gestion numérique","dcg-ue11-performance-globale-durabilite","8"
"DSCG","1","Le pilotage des processus de production","dscg-ue3-pilotage-processus-production","14"
"DSCG","2","Le management et le pilotage des projets","dscg-ue3-pilotage-projets","16"
"DSCG","3","Le pilotage des fonctions support","dscg-ue3-pilotage-fonctions-support","15"
"DSCG","4","Le management du changement et la transformation des organisations","dscg-ue3-management-changement","15"
"DSCG","5","Le management des risques et le contrôle interne","dscg-ue3-management-risques","17"
"DSCG","6","Le contrôle de gestion sociale et le pilotage des ressources humaines","dscg-ue3-controle-gestion-sociale","17"
"DSCG","7","La gestion budgétaire et le pilotage prévisionnel de la performance","dscg-ue3-gestion-budgetaire","17"
"DSCG","8","Le pilotage stratégique de la durabilité et de la performance globale","dscg-ue3-durabilite-performance-globale","16"
"DSCG","9","Annexe de fin d'ouvrage","dscg-ue3-annexe-reference","9"
